Date,Sum of Total CPI-Adjusted Cost (Millions of Dollars),Monthly PRI,CPI Household Insurance ,PPI Household Insurance Premia
01/04/1980," 2,289.90 ",,,
01/05/1980, -   ,,,
01/06/1980, -   ,,,
01/07/1980, -   ,,,
01/08/1980, -   ,,,
01/09/1980, -   ,,,
01/10/1980, -   ,,,
01/11/1980," 34,376.40 ",,,
01/12/1980, -   ,,,
01/01/1981," 1,658.80 ",,,
01/02/1981, -   ,,,
01/03/1981, -   ,,,
01/04/1981, -   ,,,
01/05/1981, -   ,,,
01/06/1981, -   ,,,
01/07/1981, -   ,,,
01/08/1981, -   ,,,
01/09/1981, -   ,,,
01/10/1981," 1,164.20 ",,,
01/11/1981, -   ,,,
01/12/1981, -   ,,,
01/01/1982," 1,767.60 ",,,
01/02/1982, -   ,,,
01/03/1982, -   ,,,
01/04/1982," 1,290.30 ",,,
01/05/1982, -   ,,,
01/06/1982, -   ,,,
01/07/1982, -   ,,,
01/08/1982, -   ,,,
01/09/1982, -   ,,,
01/10/1982," 1,281.70 ",,,
01/11/1982, -   ,,,
01/12/1982, -   ,,,
01/01/1983," 4,101.30 ",,,
01/02/1983, -   ,,,
01/03/1983," 4,004.00 ",,,
01/04/1983, -   ,,,
01/05/1983, -   ,,,
01/06/1983, -   ,,,
01/07/1983, -   ,,,
01/08/1983," 15,387.40 ",,,
01/09/1983, -   ,,,
01/10/1983, -   ,,,
01/11/1983, -   ,,,
01/12/1983," 5,175.00 ",,,
01/01/1984, -   ,,,
01/02/1984, -   ,,,
01/03/1984, -   ,,,
01/04/1984, -   ,,,
01/05/1984, -   ,,,
01/06/1984," 1,102.10 ",,,
01/07/1984," 1,489.60 ",,,
01/08/1984, -   ,,,
01/09/1984, -   ,,,
01/10/1984, -   ,,,
01/11/1984, -   ,,,
01/12/1984, -   ,,,
01/01/1985," 4,868.50 ",,,
01/02/1985, -   ,,,
01/03/1985," 3,100.80 ",,,
01/04/1985, -   ,,,
01/05/1985, -   ,,,
01/06/1985, -   ,,,
01/07/1985, -   ,,,
01/08/1985, -   ,,,
01/09/1985," 2,046.20 ",,,
01/10/1985," 3,577.10 ",,,
01/11/1985, -   ,,,
01/12/1985, -   ,,,
01/01/1986, -   ,,,
01/02/1986," 1,218.40 ",,,
01/03/1986, -   ,,,
01/04/1986, -   ,,,
01/05/1986, -   ,,,
01/06/1986, -   ,,,
01/07/1986, -   ,,,
01/08/1986," 4,148.30 ",,,
01/09/1986, -   ,,,
01/10/1986, -   ,,,
01/11/1986, -   ,,,
01/12/1986, -   ,,,
01/01/1987, -   ,,,
01/02/1987, -   ,,,
01/03/1987, -   ,,,
01/04/1987, -   ,,,
01/05/1987, -   ,,,
01/06/1987, -   ,,,
01/07/1987, -   ,,,
01/08/1987, -   ,,,
01/09/1987, -   ,,,
01/10/1987, -   ,,,
01/11/1987, -   ,,,
01/12/1987, -   ,,,
01/01/1988, -   ,,,
01/02/1988, -   ,,,
01/03/1988, -   ,,,
01/04/1988, -   ,,,
01/05/1988, -   ,,,
01/06/1988, -   ,,,
01/07/1988, -   ,,,
01/08/1988," 43,608.70 ",,,
01/09/1988, -   ,,,
01/10/1988, -   ,,,
01/11/1988, -   ,,,
01/12/1988, -   ,,,
01/01/1989, -   ,,,
01/02/1989, -   ,,,
01/03/1989, -   ,,,
01/04/1989, -   ,,,
01/05/1989, -   ,,,
01/06/1989," 1,147.00 ",,,
01/07/1989, -   ,,,
01/08/1989, -   ,,,
01/09/1989," 18,719.80 ",,,
01/10/1989, -   ,,,
01/11/1989," 6,246.50 ",,,
01/12/1989," 5,574.10 ",,,
01/01/1990, -   ,,,
01/02/1990, -   ,,,
01/03/1990, -   ,,,
01/04/1990, -   ,,,
01/05/1990," 1,993.60 ",,,
01/06/1990, -   ,,,
01/07/1990, -   ,,,
01/08/1990, -   ,,,
01/09/1990, -   ,,,
01/10/1990, -   ,,,
01/11/1990," 1,623.70 ",,,
01/12/1990," 6,732.00 ",,,
01/01/1991, -   ,,,
01/02/1991, -   ,,,
01/03/1991," 1,206.00 ",,,
01/04/1991, -   ,,,
01/05/1991, -   ,,,
01/06/1991, -   ,,,
01/07/1991, -   ,,,
01/08/1991," 8,436.30 ",,,
01/09/1991, -   ,,,
01/10/1991," 6,171.00 ",,,
01/11/1991, -   ,,,
01/12/1991, -   ,,,
01/01/1992, -   ,,,
01/02/1992, -   ,,,
01/03/1992," 1,471.90 ",,,
01/04/1992," 1,746.60 ",,,
01/05/1992, -   ,,,
01/06/1992," 1,368.90 ",,,
01/07/1992, -   ,,,
01/08/1992," 49,410.00 ",,,
01/09/1992, -   ,,,
01/10/1992, -   ,,,
01/11/1992," 1,202.30 ",,,
01/12/1992," 10,217.00 ",,,
01/01/1993, -   ,,,
01/02/1993, -   ,,,
01/03/1993," 9,782.70 ",,,
01/04/1993, -   ,,,
01/05/1993, -   ,,,
01/06/1993, -   ,,,
01/07/1993, -   ,,,
01/08/1993," 39,327.40 ",,,
01/09/1993, -   ,,,
01/10/1993, -   ,,,
01/11/1993," 2,427.60 ",,,
01/12/1993, -   ,,,
01/01/1994," 1,788.70 ",,,
01/02/1994," 5,155.50 ",,,
01/03/1994, -   ,,,
01/04/1994," 1,694.60 ",,,
01/05/1994, -   ,,,
01/06/1994, -   ,,,
01/07/1994, -   ,,,
01/08/1994, -   ,,,
01/09/1994, -   ,,,
01/10/1994," 3,437.40 ",,,
01/11/1994," 1,247.00 ",,,
01/12/1994, -   ,,,
01/01/1995, -   ,,,
01/02/1995, -   ,,,
01/03/1995," 4,200.00 ",,,
01/04/1995, -   ,,,
01/05/1995, -   ,,,
01/06/1995," 7,877.50 ",,,
01/07/1995," 10,645.20 ",,,
01/08/1995, -   ,,,
01/09/1995," 3,528.00 ",,,
01/10/1995, -   ,,,
01/11/1995, -   ,,,
01/12/1995, -   ,,,
01/01/1996," 4,895.10 ",,,
01/02/1996, -   ,,,
01/03/1996, -   ,,,
01/04/1996, -   ,,,
01/05/1996, -   ,,,
01/06/1996, -   ,,,
01/07/1996, -   ,,,
01/08/1996," 11,081.60 ",,,
01/09/1996, -   ,,,
01/10/1996, -   ,,,
01/11/1996, -   ,,,
01/12/1996," 1,643.50 ",,,
01/01/1997, -   ,,,
01/02/1997, -   ,,,
01/03/1997, -   ,,,
01/04/1997, -   ,,,
01/05/1997," 7,353.50 ",,,
01/06/1997, -   ,,,
01/07/1997, -   ,,,
01/08/1997, -   ,,,
01/09/1997, -   ,,,
01/10/1997, -   ,,,
01/11/1997," 4,766.90 ",,,
01/12/1997, -   ,,100,
01/01/1998, -   ,,100.3,
01/02/1998," 3,362.90 ",,100.2,
01/03/1998, -   ,,100.3,
01/04/1998, -   ,,100.4,
01/05/1998," 2,544.80 ",,99.6,
01/06/1998, -   ,,99.1,100
01/07/1998, -   ,,99.3,100.1
01/08/1998," 8,124.70 ",,99.2,100.3
01/09/1998," 11,522.70 ",,99.2,100.6
01/10/1998," 1,469.70 ",,99.7,101.1
01/11/1998, -   ,,99.9,101.2
01/12/1998," 3,900.00 ",,99.9,101.5
01/01/1999," 1,349.50 ",,99.7,102.3
01/02/1999, -   ,,100.1,102.3
01/03/1999, -   ,,100.2,102.6
01/04/1999," 1,580.20 ",,100.3,102.7
01/05/1999, -   ,,100.5,103.1
01/06/1999," 3,078.70 ",,102.2,103.3
01/07/1999, -   ,,102.1,103.8
01/08/1999," 3,823.40 ",,102.2,104.1
01/09/1999," 9,931.40 ",,102.3,104.9
01/10/1999, -   ,,102.2,105.3
01/11/1999, -   ,,102.1,105.4
01/12/1999, -   ,,102.2,105.6
01/01/2000, -   ,,102.4,105.9
01/02/2000, -   ,,102.4,106.1
01/03/2000, -   ,,102.6,106.3
01/04/2000," 1,341.00 ",,103.1,106.8
01/05/2000, -   ,,103.8,107.3
01/06/2000, -   ,,103.9,107.9
01/07/2000, -   ,,104.2,108.4
01/08/2000," 1,601.90 ",,104,108.6
01/09/2000, -   ,,104.2,108.9
01/10/2000, -   ,,104.2,109
01/11/2000," 7,445.70 ",,104.5,109.1
01/12/2000, -   ,,104.7,109.4
01/01/2001, -   ,,105,110.4
01/02/2001, -   ,,105.1,111.3
01/03/2001, -   ,,105.4,111.7
01/04/2001, -   ,,105.5,111.6
01/05/2001, -   ,,106.8,112.2
01/06/2001," 12,271.70 ",,107,112.5
01/07/2001, -   ,,106.6,113
01/08/2001, -   ,,106.6,113.3
01/09/2001, -   ,,106.7,113.5
01/10/2001, -   ,,106.9,114.1
01/11/2001," 4,456.60 ",,106.9,114.6
01/12/2001, -   ,,106.3,114.8
01/01/2002, -   ,,106.4,115.3
01/02/2002, -   ,,106.8,115.6
01/03/2002, -   ,,106.8,116.3
01/04/2002," 2,973.50 ",,107.2,116.9
01/05/2002," 1,568.40 ",,107.6,117
01/06/2002, -   ,,107.8,118.2
01/07/2002, -   ,,108.6,119.5
01/08/2002, -   ,,109.6,120.1
01/09/2002, -   ,,110,121.2
01/10/2002, -   ,,110,123.4
01/11/2002," 14,654.20 ",,111.4,125.1
01/12/2002, -   ,,112.3,125.6
01/01/2003, -   ,,113.9,127.8
01/02/2003, -   ,,114.1,129.1
01/03/2003, -   ,,114,130.7
01/04/2003, -   ,,114.2,131.5
01/05/2003, -   ,,114.3,133
01/06/2003, -   ,,115.2,133.8
01/07/2003," 4,190.00 ",,115.6,134.3
01/08/2003, -   ,,115.8,134.8
01/09/2003," 8,815.40 ",,115.9,135.6
01/10/2003," 5,738.50 ",,116,136.5
01/11/2003," 12,352.70 ",,114.3,137.8
01/12/2003, -   ,,114.3,138.7
01/01/2004, -   ,,114.8,139.5
01/02/2004, -   ,,115,140.5
01/03/2004, -   ,,115.1,141.5
01/04/2004, -   ,,115.7,142.3
01/05/2004," 1,378.90 ",,116.1,144.1
01/06/2004, -   ,,116.2,144.7
01/07/2004, -   ,,116.1,145.1
01/08/2004," 21,759.40 ",,116.3,145.9
01/09/2004," 51,403.90 ",,116.6,146
01/10/2004, -   ,,116.3,146.5
01/11/2004, -   ,,117.7,147.1
01/12/2004, -   ,,118.7,147.8
01/01/2005, -   ,-0.009081454,118.5,148.5
01/02/2005, -   ,-0.001048637,118.7,149
01/03/2005," 1,141.80 ",-0.001569616,119,150
01/04/2005, -   ,-0.000274042,118.2,150.7
01/05/2005, -   ,0.00106159,118,151.6
01/06/2005, -   ,0.0087408,118,152
01/07/2005, -   ,0.008220394,118.1,152.1
01/08/2005," 166,958.70 ",0.003623522,117.8,152.4
01/09/2005," 24,420.10 ",-0.015190876,116.6,152.6
01/10/2005," 25,080.00 ",0.004086588,115.8,152.9
01/11/2005," 3,293.40 ",0.008189726,115.9,153.3
01/12/2005, -   ,-0.000872161,116.1,154.1
01/01/2006, -   ,0.00546119,115.9,154.3
01/02/2006, -   ,0.002382804,116.2,154.5
01/03/2006," 1,698.80 ",0.006850329,116.2,154.8
01/04/2006," 3,078.00 ",-0.004596535,116.2,154.9
01/05/2006," 1,116.50 ",0.007730575,116.3,155.6
01/06/2006," 1,932.40 ",0.003650782,116.4,155.8
01/07/2006, -   ,0.005650238,116.4,155.9
01/08/2006," 9,654.40 ",0.002187387,116.2,156.1
01/09/2006, -   ,0.011711759,116.4,156.2
01/10/2006, -   ,0.004737104,116.2,156.4
01/11/2006, -   ,-0.000124335,118.3,156.5
01/12/2006," 1,863.10 ",-0.00201966,117.1,156.4
01/01/2007," 1,750.00 ",0.006934558,117.417,156.9
01/02/2007, -   ,0.012850796,117.32,157
01/03/2007, -   ,0.015830863,117.333,157.1
01/04/2007," 3,135.20 ",0.018415827,117.559,157.6
01/05/2007, -   ,0.012955677,116.386,159
01/06/2007, -   ,0.013795535,117.106,159.1
01/07/2007, -   ,0.003102236,116.577,159.4
01/08/2007," 3,426.60 ",0.013078694,116.926,159.5
01/09/2007, -   ,0.016338923,116.783,158.8
01/10/2007," 2,555.40 ",0.007391433,116.64,159.3
01/11/2007," 4,422.90 ",0.011214903,116.997,159.7
01/12/2007, -   ,0.006343647,117.003,159.7
01/01/2008, -   ,0.00449624,117.435,159.9
01/02/2008, -   ,0.006009831,117.622,159.8
01/03/2008," 8,482.30 ",0.007836186,117.701,159.8
01/04/2008, -   ,0.007839254,118.422,160.2
01/05/2008," 3,605.00 ",0.022893506,118.411,161.1
01/06/2008," 13,292.50 ",0.003379305,119.092,161.1
01/07/2008," 1,508.10 ",0.006710169,118.764,161.3
01/08/2008, -   ,0.010568388,118.562,161.5
01/09/2008," 35,698.60 ",0.008122488,119.944,162.4
01/10/2008, -   ,0.003295284,119.916,162.4
01/11/2008," 2,705.80 ",0.003089752,120.232,162.5
01/12/2008," 10,288.40 ",-0.007456069,120.019,162.5
01/01/2009, -   ,0.005933757,120.402,162.5
01/02/2009, -   ,0.002536005,120.683,162.8
01/03/2009," 1,952.30 ",0.005111523,120.737,162.8
01/04/2009, -   ,0.007146264,120.675,163.3
01/05/2009, -   ,0.010760142,120.728,163.5
01/06/2009, -   ,0.012381755,121.083,164.4
01/07/2009," 1,190.00 ",-0.001049608,121.298,165.2
01/08/2009, -   ,-0.002036495,121.83,165.3
01/09/2009, -   ,0.010237766,122.17,168.2
01/10/2009," 1,701.80 ",-0.005323558,122.184,168.8
01/11/2009," 3,277.40 ",0.01103578,122.243,169.3
01/12/2009," 5,735.80 ",0.01164992,123.812,169.3
01/01/2010, -   ,0.000852488,124.36,169.2
01/02/2010," 2,628.90 ",0.002593946,124.439,169.1
01/03/2010," 2,139.30 ",0.005305126,124.416,168.7
01/04/2010, -   ,-0.00186858,124.879,169
01/05/2010, -   ,0.003252596,125.036,169.1
