date,costs,pri,cpi,ppi,
1980-04-01,2289.9,,,,
1980-05-01,,,,,
1980-06-01,,,,,
1980-07-01,,,,,
1980-08-01,,,,,
1980-09-01,,,,,
1980-10-01,,,,,
1980-11-01,34376.4,,,,
1980-12-01,,,,,
1981-01-01,1658.8,,,,
1981-02-01,,,,,
1981-03-01,,,,,
1981-04-01,,,,,
1981-05-01,,,,,
1981-06-01,,,,,
1981-07-01,,,,,
1981-08-01,,,,,
1981-09-01,,,,,
1981-10-01,1164.2,,,,
1981-11-01,,,,,
1981-12-01,,,,,
1982-01-01,1767.6,,,,
1982-02-01,,,,,
1982-03-01,,,,,
1982-04-01,1290.3,,,,
1982-05-01,,,,,
1982-06-01,,,,,
1982-07-01,,,,,
1982-08-01,,,,,
1982-09-01,,,,,
1982-10-01,1281.7,,,,
1982-11-01,,,,,
1982-12-01,,,,,
1983-01-01,4101.3,,,,
1983-02-01,,,,,
1983-03-01,4004,,,,
1983-04-01,,,,,
1983-05-01,,,,,
1983-06-01,,,,,
1983-07-01,,,,,
1983-08-01,15387.4,,,,
1983-09-01,,,,,
1983-10-01,,,,,
1983-11-01,,,,,
1983-12-01,5175,,,,
1984-01-01,,,,,
1984-02-01,,,,,
1984-03-01,,,,,
1984-04-01,,,,,
1984-05-01,,,,,
1984-06-01,1102.1,,,,
1984-07-01,1489.6,,,,
1984-08-01,,,,,
1984-09-01,,,,,
1984-10-01,,,,,
1984-11-01,,,,,
1984-12-01,,,,,
1985-01-01,4868.5,,,,
1985-02-01,,,,,
1985-03-01,3100.8,,,,
1985-04-01,,,,,
1985-05-01,,,,,
1985-06-01,,,,,
1985-07-01,,,,,
1985-08-01,,,,,
1985-09-01,2046.2,,,,
1985-10-01,3577.1,,,,
1985-11-01,,,,,
1985-12-01,,,,,
1986-01-01,,,,,
1986-02-01,1218.4,,,,
1986-03-01,,,,,
1986-04-01,,,,,
1986-05-01,,,,,
1986-06-01,,,,,
1986-07-01,,,,,
1986-08-01,4148.3,,,,
1986-09-01,,,,,
1986-10-01,,,,,
1986-11-01,,,,,
1986-12-01,,,,,
1987-01-01,,,,,
1987-02-01,,,,,
1987-03-01,,,,,
1987-04-01,,,,,
1987-05-01,,,,,
1987-06-01,,,,,
1987-07-01,,,,,
1987-08-01,,,,,
1987-09-01,,,,,
1987-10-01,,,,,
1987-11-01,,,,,
1987-12-01,,,,,
1988-01-01,,,,,
1988-02-01,,,,,
1988-03-01,,,,,
1988-04-01,,,,,
1988-05-01,,,,,
1988-06-01,,,,,
1988-07-01,,,,,
1988-08-01,43608.7,,,,
1988-09-01,,,,,
1988-10-01,,,,,
1988-11-01,,,,,
1988-12-01,,,,,
1989-01-01,,,,,
1989-02-01,,,,,
1989-03-01,,,,,
1989-04-01,,,,,
1989-05-01,,,,,
1989-06-01,1147,,,,
1989-07-01,,,,,
1989-08-01,,,,,
1989-09-01,18719.8,,,,
1989-10-01,,,,,
1989-11-01,6246.5,,,,
1989-12-01,5574.1,,,,
1990-01-01,,,,,
1990-02-01,,,,,
1990-03-01,,,,,
1990-04-01,,,,,
1990-05-01,1993.6,,,,
1990-06-01,,,,,
1990-07-01,,,,,
1990-08-01,,,,,
1990-09-01,,,,,
1990-10-01,,,,,
1990-11-01,1623.7,,,,
1990-12-01,6732,,,,
1991-01-01,,,,,
1991-02-01,,,,,
1991-03-01,1206,,,,
1991-04-01,,,,,
1991-05-01,,,,,
1991-06-01,,,,,
1991-07-01,,,,,
1991-08-01,8436.3,,,,
1991-09-01,,,,,
1991-10-01,6171,,,,
1991-11-01,,,,,
1991-12-01,,,,,
1992-01-01,,,,,
1992-02-01,,,,,
1992-03-01,1471.9,,,,
1992-04-01,1746.6,,,,
1992-05-01,,,,,
1992-06-01,1368.9,,,,
1992-07-01,,,,,
1992-08-01,49410,,,,
1992-09-01,,,,,
1992-10-01,,,,,
1992-11-01,1202.3,,,,
1992-12-01,10217,,,,
1993-01-01,,,,,
1993-02-01,,,,,
1993-03-01,9782.7,,,,
1993-04-01,,,,,
1993-05-01,,,,,
1993-06-01,,,,,
1993-07-01,,,,,
