observation_date,PCU9241269241262
01/06/1998,100
01/07/1998,100.1
01/08/1998,100.3
01/09/1998,100.6
01/10/1998,101.1
01/11/1998,101.2
01/12/1998,101.5
01/01/1999,102.3
01/02/1999,102.3
01/03/1999,102.6
01/04/1999,102.7
01/05/1999,103.1
01/06/1999,103.3
01/07/1999,103.8
01/08/1999,104.1
01/09/1999,104.9
01/10/1999,105.3
01/11/1999,105.4
01/12/1999,105.6
01/01/2000,105.9
01/02/2000,106.1
01/03/2000,106.3
01/04/2000,106.8
01/05/2000,107.3
01/06/2000,107.9
01/07/2000,108.4
01/08/2000,108.6
01/09/2000,108.9
01/10/2000,109
01/11/2000,109.1
01/12/2000,109.4
01/01/2001,110.4
01/02/2001,111.3
01/03/2001,111.7
01/04/2001,111.6
01/05/2001,112.2
01/06/2001,112.5
01/07/2001,113
01/08/2001,113.3
01/09/2001,113.5
01/10/2001,114.1
01/11/2001,114.6
01/12/2001,114.8
01/01/2002,115.3
01/02/2002,115.6
01/03/2002,116.3
01/04/2002,116.9
01/05/2002,117
01/06/2002,118.2
01/07/2002,119.5
01/08/2002,120.1
01/09/2002,121.2
01/10/2002,123.4
01/11/2002,125.1
01/12/2002,125.6
01/01/2003,127.8
01/02/2003,129.1
01/03/2003,130.7
01/04/2003,131.5
01/05/2003,133
01/06/2003,133.8
01/07/2003,134.3
01/08/2003,134.8
01/09/2003,135.6
01/10/2003,136.5
01/11/2003,137.8
01/12/2003,138.7
01/01/2004,139.5
01/02/2004,140.5
01/03/2004,141.5
01/04/2004,142.3
01/05/2004,144.1
01/06/2004,144.7
01/07/2004,145.1
01/08/2004,145.9
01/09/2004,146
01/10/2004,146.5
01/11/2004,147.1
01/12/2004,147.8
01/01/2005,148.5
01/02/2005,149
01/03/2005,150
01/04/2005,150.7
01/05/2005,151.6
01/06/2005,152
01/07/2005,152.1
01/08/2005,152.4
01/09/2005,152.6
01/10/2005,152.9
01/11/2005,153.3
01/12/2005,154.1
01/01/2006,154.3
01/02/2006,154.5
01/03/2006,154.8
01/04/2006,154.9
01/05/2006,155.6
01/06/2006,155.8
01/07/2006,155.9
01/08/2006,156.1
01/09/2006,156.2
01/10/2006,156.4
01/11/2006,156.5
01/12/2006,156.4
01/01/2007,156.9
01/02/2007,157
01/03/2007,157.1
01/04/2007,157.6
01/05/2007,159
01/06/2007,159.1
01/07/2007,159.4
01/08/2007,159.5
01/09/2007,158.8
01/10/2007,159.3
01/11/2007,159.7
01/12/2007,159.7
01/01/2008,159.9
01/02/2008,159.8
01/03/2008,159.8
01/04/2008,160.2
01/05/2008,161.1
01/06/2008,161.1
01/07/2008,161.3
01/08/2008,161.5
01/09/2008,162.4
01/10/2008,162.4
01/11/2008,162.5
01/12/2008,162.5
01/01/2009,162.5
01/02/2009,162.8
01/03/2009,162.8
01/04/2009,163.3
01/05/2009,163.5
01/06/2009,164.4
01/07/2009,165.2
01/08/2009,165.3
01/09/2009,168.2
01/10/2009,168.8
01/11/2009,169.3
01/12/2009,169.3
01/01/2010,169.2
01/02/2010,169.1
01/03/2010,168.7
01/04/2010,169
01/05/2010,169.1
01/06/2010,169.6
01/07/2010,170
01/08/2010,170.1
01/09/2010,172.7
01/10/2010,172.7
01/11/2010,173
01/12/2010,173.1
01/01/2011,173.3
01/02/2011,173.5
01/03/2011,173.7
01/04/2011,174.1
01/05/2011,174.5
01/06/2011,174.6
01/07/2011,174.8
01/08/2011,175.3
01/09/2011,177
01/10/2011,177.1
01/11/2011,179
01/12/2011,179.2
01/01/2012,179.4
01/02/2012,179.5
01/03/2012,179.9
01/04/2012,180.2
01/05/2012,180.4
01/06/2012,180.8
01/07/2012,181.3
01/08/2012,181.4
01/09/2012,183.4
01/10/2012,183.5
01/11/2012,183.6
01/12/2012,183.7
01/01/2013,184.1
01/02/2013,184.4
01/03/2013,184.5
01/04/2013,185.4
